case_id,settlement_id,scenario,expected_verdict,expected_reason
B001,S-10001,clean_match,VERIFIED,
B002,S-10002,clean_match,VERIFIED,
B003,S-10003,clean_match,VERIFIED,
B004,S-10004,clean_match,VERIFIED,
B005,S-10005,clean_match,VERIFIED,
B006,S-10006,clean_match,VERIFIED,
B007,S-10007,contradictory_source,FAILED,CONTRADICTORY_SOURCE
B008,S-10008,refund,VERIFIED,
B009,S-10009,refund,VERIFIED,
B010,S-10010,refund,VERIFIED,
B011,S-10011,t1_delay,VERIFIED,
B012,S-10012,clean_match,VERIFIED,
B013,S-10013,clean_match,VERIFIED,
B014,S-10014,partial_settlement,VERIFIED,
B015,S-10015,stale_policy,UNCERTAIN,STALE_POLICY
B016,S-10016,refund,VERIFIED,
B017,S-10017,clean_match,VERIFIED,
B018,S-10018,clean_match,VERIFIED,
B019,S-10019,missing_evidence,UNCERTAIN,MISSING_EVIDENCE
B020,S-10020,duplicate_file,FAILED,DUPLICATE_FILE
B021,S-10021,contradictory_source,FAILED,CONTRADICTORY_SOURCE
B022,S-10022,duplicate_utr,FAILED,DUPLICATE_UTR
B023,S-10023,clean_match,VERIFIED,
B024,S-10024,duplicate_utr,FAILED,DUPLICATE_UTR
B025,S-10025,fee_mismatch,FAILED,FEE_MISMATCH
B026,S-10026,stale_policy,UNCERTAIN,STALE_POLICY
B027,S-10027,clean_match,VERIFIED,
B028,S-10028,clean_match,VERIFIED,
B029,S-10029,clean_match,VERIFIED,
B030,S-10030,clean_match,VERIFIED,
B031,S-10031,fee_mismatch,FAILED,FEE_MISMATCH
B032,S-10032,clean_match,VERIFIED,
B033,S-10033,stale_policy,UNCERTAIN,STALE_POLICY
B034,S-10034,clean_match,VERIFIED,
B035,S-10035,duplicate_file,FAILED,DUPLICATE_FILE
B036,S-10036,clean_match,VERIFIED,
B037,S-10037,clean_match,VERIFIED,
B038,S-10038,refund,VERIFIED,
B039,S-10039,refund,VERIFIED,
B040,S-10040,duplicate_utr,FAILED,DUPLICATE_UTR
B041,S-10041,duplicate_file,FAILED,DUPLICATE_FILE
B042,S-10042,clean_match,VERIFIED,
B043,S-10043,clean_match,VERIFIED,
B044,S-10044,clean_match,VERIFIED,
B045,S-10045,missing_evidence,UNCERTAIN,MISSING_EVIDENCE
B046,S-10046,clean_match,VERIFIED,
B047,S-10047,t1_delay,VERIFIED,
B048,S-10048,clean_match,VERIFIED,
B049,S-10049,clean_match,VERIFIED,
B050,S-10050,t1_delay,VERIFIED,
B051,S-10051,partial_settlement,VERIFIED,
B052,S-10052,stale_policy,UNCERTAIN,STALE_POLICY
B053,S-10053,fee_mismatch,FAILED,FEE_MISMATCH
B054,S-10054,contradictory_source,FAILED,CONTRADICTORY_SOURCE
B055,S-10055,clean_match,VERIFIED,
B056,S-10056,clean_match,VERIFIED,
B057,S-10057,partial_settlement,VERIFIED,
B058,S-10058,partial_settlement,VERIFIED,
B059,S-10059,clean_match,VERIFIED,
B060,S-10060,fee_mismatch,FAILED,FEE_MISMATCH
B061,S-10061,missing_evidence,UNCERTAIN,MISSING_EVIDENCE
B062,S-10062,clean_match,VERIFIED,
B063,S-10063,duplicate_utr,FAILED,DUPLICATE_UTR
B064,S-10064,clean_match,VERIFIED,
B065,S-10065,missing_evidence,UNCERTAIN,MISSING_EVIDENCE
B066,S-10066,clean_match,VERIFIED,
B067,S-10067,fee_mismatch,FAILED,FEE_MISMATCH
B068,S-10068,partial_settlement,VERIFIED,
B069,S-10069,partial_settlement,VERIFIED,
B070,S-10070,clean_match,VERIFIED,
B071,S-10071,clean_match,VERIFIED,
B072,S-10072,refund,VERIFIED,
B073,S-10073,t1_delay,VERIFIED,
B074,S-10074,contradictory_source,FAILED,CONTRADICTORY_SOURCE
B075,S-10075,clean_match,VERIFIED,
B076,S-10076,partial_settlement,VERIFIED,
B077,S-10077,missing_evidence,UNCERTAIN,MISSING_EVIDENCE
B078,S-10078,clean_match,VERIFIED,
B079,S-10079,duplicate_utr,FAILED,DUPLICATE_UTR
B080,S-10080,duplicate_utr,FAILED,DUPLICATE_UTR
B081,S-10081,clean_match,VERIFIED,
